1,Gemma,37.034042,29.308752,73.83645,80.86529,42.18227
2,Kelsey,54.26955,53.15689,41.654858,65.80716,35.589638
3,Hattie,44.524372,42.624588,89.05786,30.067211,16.223557
4,Scarlett,58.247738,56.52455,32.23225,98.35093,80.99057
5,Adley,39.99114,34.642044,67.81635,86.11782,85.214714
6,Jocelyn,22.59177,33.015347,56.716747,58.81263,53.538036
7,Lela,35.38121,38.915047,7.073725,55.120083,19.747955
8,Noella,54.444744,54.183174,31.628616,40.72433,49.218052
9,Bella,29.656298,50.635605,29.818783,30.13223,98.0195
10,Areli,34.507977,52.46734,80.60964,32.41784,97.91458
11,River,41.579002,30.724604,30.338383,72.35324,29.15323
12,Monica,49.1442,20.539795,5.5807366,34.018673,86.61575
13,Paityn,34.204895,17.969059,61.00069,52.302364,88.86057
14,Yamileth,49.161808,48.236626,84.56171,6.5551224,80.969604
15,Kayleigh,25.076403,10.237962,77.77997,48.892067,41.441048
16,Ellis,25.045763,32.84378,12.1156845,32.755554,49.92984
17,Cherish,59.922672,48.641758,58.164528,14.748621,31.058847
18,Leila,58.214813,46.227623,82.37782,30.77486,27.647127
19,Valeria,48.29493,44.932285,8.224737,68.793465,33.675583
20,Sofia,31.624731,18.653534,34.55239,94.97021,79.107
21,Navy,29.699224,32.083237,20.982084,93.82698,38.658524
22,Preslee,46.079506,12.970201,1.7887574,33.20799,9.318488
23,Diamond,34.822987,56.170162,14.111994,65.6265,24.073153
24,Rosemary,46.37371,47.745087,73.28468,73.26575,28.928682
25,Jazlyn,26.566149,19.800163,30.555098,31.088633,99.81221
26,Gabriella,24.760672,13.033345,79.05908,38.337627,13.157032
27,Ophelia,55.224174,12.3711405,15.876357,5.233031,9.829823
28,Molly,49.2171,35.56227,88.53906,62.95649,27.481762
29,Genevieve,21.449587,22.567768,12.028365,81.023445,11.059808
30,Naomi,50.64309,17.562702,3.4522374,88.394905,79.38695
31,Georgia,41.9695,27.098562,1.5673999,48.081062,16.338581
32,Zora,22.922668,29.338324,66.12595,87.12231,36.693085
33,Coco,21.071472,26.510578,48.950394,12.820026,87.49254
34,Marlow,23.608349,13.874875,3.3858442,53.820045,56.907593
35,Lindy,30.287287,31.45353,20.567095,54.106174,23.955805
36,Andie,36.81363,18.395472,86.42795,17.670979,58.78625
37,Fallon,59.7508,24.548775,18.338844,87.35992,43.982742
38,Laylah,37.599033,16.18942,56.02186,31.764822,98.37604
39,Nicole,29.47684,14.776771,5.1843204,1.803599,69.73491
40,Laila,54.945522,22.873524,4.154789,49.0904,95.50502
41,Kamryn,40.091717,20.841742,71.48905,49.276573,38.664726
42,Amy,36.27598,48.63989,85.98958,82.93172,58.971256
43,Jenesis,37.29824,37.891518,66.62787,17.393356,37.05974
44,Isabelle,38.29047,47.643463,27.544193,92.42537,75.275665
45,Kailyn,20.93043,21.418621,80.42793,63.913406,34.949657
